Date,BR Activity,BR Futures,Dolar Ref,BR Futures P&L,US Activity,US Futures,US Futures P&L,US Equities P&L,Futures P&L,Total P&L,Return in %,Total P&L Cum Sum,Return Cum Sum
29/09/2020,0.0,23489.72,5.6409,4164.179474906487,0.0,-1914.1497400002802,-1914.1497400002802,0.0,2250.0297349062066,2250.0297349062066,0.29032641740725246,26609.002954267864,3.4334197360345637
30/09/2020,0.0,-7031.61,5.6298,-1248.998188212725,0.0,107.76497000003292,107.76497000003292,0.0,-1141.233218212692,-1141.233218212692,-0.14725589912421833,25467.769736055172,3.2861638369103456
01/10/2020,0.0,-2072.65,5.6472,-367.02259526845165,0.0,250.05024999981103,250.05024999981103,0.0,-116.97234526864062,-116.97234526864062,-0.015093205841114917,25350.79739078653,3.2710706310692306
02/10/2020,0.0,-24204.81,5.6565,-4279.114293290904,0.0,5332.829540001148,5332.829540001148,0.0,1053.7152467102442,1053.7152467102442,0.1359632576400315,26404.512637496773,3.407033888709262
05/10/2020,0.0,893.81,5.5812,160.14656346305452,0.0,1645.0998000003601,1645.0998000003601,0.0,1805.2463634634146,1805.2463634634146,0.23293501464044059,28209.759000960188,3.6399689033497027
06/10/2020,0.0,3965.77,5.5693,712.0769216957248,0.0,-4829.749649999702,-4829.749649999702,0.0,-4117.672728303977,-4117.672728303977,-0.531312610103739,24092.08627265621,3.108656293245964
07/10/2020,0.0,23333.4,5.6135,4156.6580564710075,0.0,-5237.7556049997365,-5237.7556049997365,0.0,-1081.097548528729,-1081.097548528729,-0.1394964578746747,23010.988724127485,2.969159835371289
08/10/2020,0.0,-45846.78,5.5921,-8198.490727991273,0.0,4998.149975000197,4998.149975000197,0.0,-3200.3407529910764,-3200.3407529910764,-0.41294719393433243,19810.647971136408,2.5562126414369564
09/10/2020,-11281.4,-61727.2,5.5372,-13185.111608755326,0.0,14841.575300000139,14841.575300000139,0.0,1656.4636912448132,1656.4636912448132,0.21373725048320172,21467.11166238122,2.769949891920158
13/10/2020,167769.0,-36442.22,5.577000000000001,23547.925407925402,-30000.0,-15547.815079999707,-45547.81507999971,0.0,-21999.889672074307,-21999.889672074307,-2.838695441557975,-532.7780096930874,-0.06874554963781687
14/10/2020,0.0,42839.08,5.5942,7657.766972936256,0.0,-9006.050000000385,-9006.050000000385,0.0,-1348.2830270641289,-1348.2830270641289,-0.17397200349214564,-1881.0610367572162,-0.24271755312996252
15/10/2020,0.0,-1620.58,5.5984,-289.47199199771364,0.0,3228.8508000004686,3228.8508000004686,0.0,2939.378808002755,2939.378808002755,0.37927468490358124,1058.3177712455386,0.13655713177361872
16/10/2020,0.0,-9465.65,5.6388,-1678.663900120593,0.0,73.90500499986183,73.90500499986183,0.0,-1604.7588951207313,-1604.7588951207313,-0.207065663886546,-546.4411238751927,-0.07050853211292726
19/10/2020,0.0,223806.69,5.5928,40016.930696609925,0.0,-35762.554775000164,-35762.554775000164,0.0,4254.375921609761,4254.375921609761,0.5489517318206143,3707.934797734568,0.478443199707687
20/10/2020,0.0,-79189.05,5.579,-14194.129772360639,0.0,12662.45504500028,12662.45504500028,0.0,-1531.6747273603578,-1531.6747273603578,-0.19763544869165908,2176.26007037421,0.28080775101602795
21/10/2020,0.0,-9021.29,5.6071,-1608.90478143782,0.0,-1085.0049800000909,-1085.0049800000909,0.0,-2693.9097614379107,-2693.9097614379107,-0.3476012595403756,-517.6496910637006,-0.06679350852434762
22/10/2020,0.0,-31879.84,5.5973,-5695.574652064389,0.0,5557.999999999944,5557.999999999944,0.0,-137.57465206444522,-137.57465206444522,-0.017751568008315514,-655.2243431281458,-0.08454507653266313
23/10/2020,0.0,-2162.18,5.6199,-384.7363832096656,0.0,1058.705000000134,1058.705000000134,0.0,673.9686167904686,673.9686167904686,0.08696369248909272,18.744273662322712,0.0024186159564295873
26/10/2020,0.0,190467.22,5.6244,33864.451319251835,0.0,-33944.14998000007,-33944.14998000007,0.0,-79.69866074823221,-79.69866074823221,-0.010283698161062222,-60.9543870859095,-0.007865082204632634
27/10/2020,0.0,44787.8,5.6708,7897.968540593921,0.0,-7823.105014999895,-7823.105014999895,0.0,74.86352559402621,74.86352559402621,0.009659809754067899,13.909138508116712,0.001794727549435264
28/10/2020,0.0,-26132.32,5.7334,-4557.909791746608,0.0,-1185.3252050000974,-1185.3252050000974,0.0,-5743.234996746705,-5743.234996746705,-0.7410625802253813,-5729.325858238589,-0.7392678526759461
29/10/2020,0.0,68592.32,5.7586,11911.2839926371,0.0,16987.154900000143,16987.154900000143,0.0,28898.43889263724,28898.43889263724,3.728830824856418,23169.11303439865,2.989562972180472
30/10/2020,0.0,147405.95,5.7442,25661.702238779988,0.0,-43530.67998500026,-43530.67998500026,0.0,-17868.97774622027,-17868.97774622027,-2.3056745478993896,5300.135288178382,0.6838884242810823
02/11/2020,0.0,0.0,5.7442,0.0,0.0,12269.00000000005,12269.00000000005,0.0,12269.00000000005,12269.00000000005,1.5830967741935547,17569.135288178433,2.2669851984746368
03/11/2020,0.0,-185648.36,5.7466,-32305.773848884557,0.0,16815.96995999998,16815.96995999998,0.0,-15489.803888884577,-15489.803888884577,-1.9986843727593004,2079.3313992938565,0.2683008257153363
04/11/2020,0.0,-221082.03,5.6560000000000015,-39088.05339462517,0.0,40160.82007999985,40160.82007999985,0.0,1072.766685374685,1072.766685374685,0.13842150779028195,3152.0980846685416,0.40672233350561826
05/11/2020,0.0,-65213.11,5.5728,-11702.03667815102,0.0,12314.065025000016,12314.065025000016,0.0,612.0283468489961,612.0283468489961,0.07897139959341884,3764.1264315175376,0.4856937330990371
06/11/2020,0.0,15688.9,5.4317,2888.3958981534324,0.0,-5425.124960000479,-5425.124960000479,0.0,-2536.729061847047,-2536.729061847047,-0.32731987894800607,1227.3973696704907,0.158373854151031
09/11/2020,185794.0,-329284.88,5.4129,-26509.05799109535,-35000.0,60014.53483000018,25014.53483000018,0.0,-1494.5231610951705,-1494.5231610951705,-0.19284169820582847,-267.12579142467985,-0.03446784405479747
10/11/2020,-11543.6,46867.56,5.3816,6563.839750260146,0.0,-3826.10494000001,-3826.10494000001,0.0,2737.7348102601354,2737.7348102601354,0.3532561045496949,2470.6090188354556,0.31878826049489745
11/11/2020,0.0,-64423.71,5.4145,-11898.367346938774,0.0,14109.984999999966,14109.984999999966,0.0,2211.617653061192,2211.617653061192,0.2853700197498312,4682.2266718966475,0.6041582802447287
12/11/2020,0.0,87064.43,5.4564,15956.386995088335,0.0,-14785.52555499998,-14785.52555499998,0.0,1170.8614400883544,1170.8614400883544,0.15107889549527154,5853.088111985002,0.7552371757400003
13/11/2020,0.0,74062.05,5.4688,13542.651038619077,-275.0,-19156.10000000004,-19431.10000000004,0.0,-5888.448961380962,-5888.448961380962,-0.7597998659846402,-35.36084939596003,-0.004562690244639955
16/11/2020,0.0,377.81,5.4273,69.61288301733828,0.0,939.2499999999986,939.2499999999986,0.0,1008.8628830173369,1008.8628830173369,0.13017585587320477,973.5020336213769,0.1256131656285648
17/11/2020,0.0,8312.45,5.3616,1550.3674276335423,0.0,-2323.589900000183,-2323.589900000183,0.0,-773.2224723666409,-773.2224723666409,-0.09977064159569561,200.279561254736,0.0258425240328692
18/11/2020,0.0,-17433.95,5.3202,-3276.935077628661,0.0,6978.749999999951,6978.749999999951,0.0,3701.81492237129,3701.81492237129,0.477653538370489,3902.094483626026,0.5034960624033582
19/11/2020,0.0,-9331.67,5.3106,-1757.178096636915,0.0,2266.144999999945,2266.144999999945,0.0,508.96690336303004,508.96690336303004,0.06567314882103614,4411.061386989056,0.5691692112243943
20/11/2020,0.0,-58595.36,5.3817,-10887.890443540145,0.0,14486.584230000215,14486.584230000215,0.0,3598.6937864600695,3598.6937864600695,0.46434758534968634,8009.755173449125,1.0335167965740806
23/11/2020,0.0,92142.49,5.4423,16930.799478161807,0.0,-10910.575000000046,-10910.575000000046,0.0,6020.224478161761,6020.224478161761,0.7768031584724853,14029.979651610887,1.8103199550465658
24/11/2020,0.0,22471.77,5.3839,4173.883244488196,0.0,-6586.8551899997865,-6586.8551899997865,0.0,-2412.97194551159,-2412.97194551159,-0.31135121877568905,11617.007706099297,1.4989687362708768
25/11/2020,0.0,-8467.62,5.3198,-1591.7177337493893,0.0,2639.7502499998704,2639.7502499998704,0.0,1048.0325162504812,1048.0325162504812,0.13523000209683628,12665.040222349779,1.634198738367713
26/11/2020,0.0,2155.6,5.3169,405.42421335740744,0.0,-125.39999999998636,-125.39999999998636,0.0,280.0242133574211,280.0242133574211,0.03613215656224788,12945.0644357072,1.670330894929961
27/11/2020,0.0,-33720.11,5.3397,-6314.9821151001,0.0,6546.949999999973,6546.949999999973,0.0,231.96788489987375,231.96788489987375,0.02993133998708048,13177.032320607073,1.7002622349170413
30/11/2020,0.0,-16797.15,5.3539,-3137.3671529165654,0.0,-111.40024999996695,-111.40024999996695,0.0,-3248.7674029165323,-3248.7674029165323,-0.4191957939247139,9928.264917690542,1.2810664409923274
01/12/2020,79005.0,191769.42,5.2352,51721.8864608802,-15000.0,-31410.089900000294,-46410.0899000003,0.0,5311.796560879906,5311.796560879906,0.6853931046296653,15240.061478570447,1.9664595456219927
02/12/2020,0.0,-1555.15,5.2461,-296.43925964049487,0.0,999.660010000018,999.660010000018,0.0,703.2207503595232,703.2207503595232,0.09073816133671267,15943.282228929971,2.0571977069587053
03/12/2020,0.0,9217.48,5.1625,1785.4682808716707,0.0,-1381.4198000001004,-1381.4198000001004,0.0,404.0484808715703,404.0484808715703,0.05213528785439617,16347.330709801541,2.1093329948131014
04/12/2020,0.0,-114932.89,5.1370000000000005,-22373.542923885536,0.0,21029.62989999993,21029.62989999993,0.0,-1343.913023885605,-1343.913023885605,-0.17340813211427164,15003.417685915936,1.9359248626988297
07/12/2020,0.0,166.95,5.0878,32.81378985022996,0.0,-373.75000000003945,-373.75000000003945,0.0,-340.9362101498095,-340.9362101498095,-0.04399176905158832,14662.481475766126,1.8919330936472414
08/12/2020,0.0,-3085.53,5.1118,-603.6092961383466,0.0,1811.1000000000708,1811.1000000000708,0.0,1207.4907038617243,1207.4907038617243,0.15580525211119023,15869.97217962785,2.0477383457584315
09/12/2020,0.0,46046.36,5.1797,8889.77353900805,0.0,-1118.7500000000173,-1118.7500000000173,0.0,7771.023539008033,7771.023539008033,1.002712714710714,23640.995718635884,3.0504510604691455
10/12/2020,-10663.4,-23407.33,5.0511,-6745.209954267388,-250.0,-262.6499999999404,-512.6499999999404,0.0,-7257.859954267328,-7257.859954267328,-0.9364980586151391,16383.135764368555,2.1139530018540063
