Date,MtoM P&L,Gross P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total,Total Cum Sum
24/11/2020,-7527.4999999999745,1017.4998100001874,-6586.8551899997865,41.195,35.66,-,-,0.0,-26859.130154995244,32294.96981000001,12022.694845004555,-6586.8551899997865,5435.839655004768
25/11/2020,2099.9999999998176,597.5002500000527,2639.7502499998704,31.5,26.25,-,-,0.0,-24219.379904995374,32294.96981000001,5435.839655004768,2639.7502499998704,8075.589905004639
26/11/2020,0.0,-114.99999999998636,-125.39999999998636,3.34,7.0600000000000005,-,-,0.0,-24344.77990499536,32294.96981000001,8075.589905004639,-125.39999999998636,7950.189905004653
27/11/2020,0.0,6589.9999999999745,6546.949999999973,21.29,21.76,-,-,0.0,-17797.829904995386,32294.96981000001,7950.189905004653,6546.949999999973,14497.139905004628
30/11/2020,44.999999999995005,-110.00024999996185,-111.40024999996695,25.45,20.95,-,-,0.0,-17909.23015499535,32294.96981000001,14497.139905004628,-111.40024999996695,14385.739655004661
01/12/2020,-31280.000000000142,-77.49990000014805,-31410.089900000294,28.77,23.82,FX - Sell USD,5.267,-15000.0,-49319.320054995645,17294.96981000001,-614.2603449953385,-46410.0899000003,-32024.350244995636
02/12/2020,761.0000000000148,245.25001000000321,999.660010000018,2.03,4.5600000000000005,-,-,0.0,-48319.660044995624,17294.96981000001,-32024.350244995632,999.660010000018,-31024.690234995618
03/12/2020,-2295.0000000000264,961.0001999999257,-1381.4198000001004,26.26,21.16,-,-,0.0,-49701.07984499572,17294.96981000001,-31024.690234995614,-1381.4198000001004,-32406.11003499572
04/12/2020,21554.00000000005,-480.0001000001241,21029.62989999993,23.49,20.880000000000006,-,-,0.0,-28671.44994499579,17294.96981000001,-32406.110034995716,21029.62989999993,-11376.480134995789
07/12/2020,-659.999999999994,299.99999999995447,-373.75000000003945,7.5,6.25,-,-,0.0,-29045.19994499583,17294.96981000001,-11376.480134995785,-373.75000000003945,-11750.230134995829
08/12/2020,-2219.9999999999523,4050.000000000023,1811.1000000000708,10.45,8.45,-,-,0.0,-27234.09994499576,17294.96981000001,-11750.230134995825,1811.1000000000708,-9939.130134995758
09/12/2020,-379.9999999999946,-725.0000000000227,-1118.7500000000173,7.5,6.25,-,-,0.0,-28352.849944995778,17294.96981000001,-9939.130134995754,-1118.7500000000173,-11057.880134995776
10/12/2020,-2849.999999999986,2606.250000000045,-262.6499999999404,10.45,8.45,TT Fee,-,-250.0,-28615.499944995718,17044.96981000001,-11307.880134995772,-512.6499999999404,-11570.530134995715
11/12/2020,280.00000000000244,-387.5000000000455,-121.25000000004304,7.5,6.25,-,-,0.0,-28736.74994499576,17044.96981000001,-11570.530134995712,-121.25000000004304,-11691.780134995759
14/12/2020,-2794.9999999999627,5824.999800000091,3005.2498000001287,13.5,11.25,-,-,0.0,-25731.500144995633,17044.96981000001,-11691.780134995755,3005.2498000001287,-8686.53033499563
15/12/2020,-10179.99999999999,675.0,-9531.459999999992,15.58,10.88,-,-,0.0,-35262.960144995624,17044.96981000001,-8686.530334995627,-9531.459999999992,-18217.990334995622
16/12/2020,1889.9999999999616,1026.2499999999,2871.839999999862,27.28,17.13,-,-,0.0,-32391.120144995763,17044.96981000001,-18217.99033499562,2871.839999999862,-15346.15033499576
17/12/2020,14045.000000000271,0.0,14045.000000000271,0.0,0.0,-,-,0.0,-18346.12014499549,17044.96981000001,-15346.150334995757,14045.000000000271,-1301.1503349954892
18/12/2020,-4930.000000000276,262.25001000001384,-4670.404990000261,0.6749999999999999,1.98,-,-,0.0,-23016.52513499575,17044.96981000001,-1301.1503349954855,-4670.404990000261,-5971.55532499575
21/12/2020,-13901.999999999742,-9583.00025000016,-23530.890249999902,27.58,18.31,-,-,0.0,-46547.41538499565,17044.96981000001,-5971.555324995747,-23530.890249999902,-29502.445574995654
22/12/2020,467.5000000000035,381.49999999987364,795.5049999998772,32.325,21.17,-,-,0.0,-45751.910384995776,17044.96981000001,-29502.445574995647,795.5049999998772,-28706.940574995777
23/12/2020,-1904.9999999998893,-1137.4998500000177,-3116.199849999907,46.2,27.5,-,-,0.0,-48868.110234995685,17044.96981000001,-28706.94057499577,-3116.199849999907,-31823.140424995683
28/12/2020,-19725.0,1185.0000999999866,-18635.99990000001,53.41,42.59,-,-,0.0,-67504.11013499569,17044.96981000001,-31823.140424995676,-18635.99990000001,-50459.14032499569
29/12/2020,4559.999999999945,-6257.499699999952,-1733.7497000000074,5.88,30.37,FX - Buy USD,5.21,115163.1478,-69237.85983499569,132208.11761000002,64704.00747500432,113429.3981,62970.25777500431
30/12/2020,2309.9999999998504,1613.5000500000524,3909.730049999903,2.45,11.32,-,-,0.0,-65328.129784995785,132208.11761000002,62970.25777500431,3909.730049999903,66879.98782500421
31/12/2020,11898.000000000171,0.0,11898.000000000171,0.0,0.0,-,-,0.0,-53430.12978499562,132208.11761000002,66879.98782500421,11898.000000000171,78777.98782500438
