Date,MtoM P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total Cum Sum
06/10/2020,-17134.500000000116,-4829.749649999702,120.25,93.75,-,-,0.0,-75759.21413499565,97569.96981000001,26640.505325004084,21810.75567500438
07/10/2020,7276.000000000047,-5237.7556049997365,97.515,78.24,-,-,0.0,-80996.96973999539,97569.96981000001,21810.75567500438,16573.000070004644
08/10/2020,1479.9999999999914,4998.149975000197,56.8,46.3,-,-,0.0,-75998.81976499519,97569.96981000001,16573.000070004644,21571.15004500484
09/10/2020,21255.00000000011,14841.575300000139,44.775,36.15,-,-,0.0,-61157.24446499505,97569.96981000001,21571.15004500484,36412.725345004976
12/10/2020,25272.5,25272.5,0.0,0.0,-,-,0.0,-35884.74446499505,97569.96981000001,36412.725345004976,61685.225345004976
13/10/2020,-11730.000000000002,-15547.815079999707,76.075,60.49,FX - Sell USD,5.5923,-30000.0,-51432.55954499476,67569.96981000001,31685.225345004976,16137.410265005266
14/10/2020,-9470.000000000035,-9006.050000000385,78.65,61.15,-,-,0.0,-60438.60954499514,67569.96981000001,16137.410265005268,7131.3602650048815
15/10/2020,-1619.9999999999975,3228.8508000004686,107.2,85.2,-,-,0.0,-57209.75874499467,67569.96981000001,7131.360265004883,10360.211065005351
16/10/2020,-8950.000000000196,73.90500499986183,14.285,11.31,-,-,0.0,-57135.85373999481,67569.96981000001,10360.211065005351,10434.116070005213
19/10/2020,-13522.499999999995,-35762.554775000164,49.795,40.76000000000001,-,-,0.0,-92898.40851499498,67569.96981000001,10434.116070005213,-25328.43870499495
20/10/2020,7450.0,12662.45504500028,35.265,29.53,-,-,0.0,-80235.9534699947,67569.96981000001,-25328.43870499495,-12665.98365999467
21/10/2020,481.5000000000673,-1085.0049800000909,28.895000000000003,23.86,-,-,0.0,-81320.95844999478,67569.96981000001,-12665.98365999467,-13750.98863999476
22/10/2020,5557.999999999944,5557.999999999944,0.0,0.0,-,-,0.0,-75762.95844999484,67569.96981000001,-13750.98863999476,-8192.988639994817
23/10/2020,1124.0000000001223,1058.705000000134,5.385,4.41,-,-,0.0,-74704.2534499947,67569.96981000001,-8192.988639994817,-7134.283639994683
26/10/2020,-23611.500000000076,-33944.14998000007,53.45,41.7,-,-,0.0,-108648.40342999477,67569.96981000001,-7134.283639994683,-41078.43361999475
27/10/2020,-2900.0000000000327,-7823.105014999895,17.975,25.38,-,-,0.0,-116471.50844499466,67569.96981000001,-41078.43361999475,-48901.53863499464
28/10/2020,25115.999999999975,-1185.3252050000974,49.875,47.7,-,-,0.0,-117656.83364999476,67569.96981000001,-48901.53863499464,-50086.86383999474
29/10/2020,-1784.0000000000068,16987.154900000143,92.785,71.56,-,-,0.0,-100669.67874999462,67569.96981000001,-50086.86383999474,-33099.7089399946
30/10/2020,-35093.000000000335,-43530.679985000264,39.55,34.38,-,-,0.0,-144200.3587349949,67569.96981000001,-33099.7089399946,-76630.38892499486
02/11/2020,12269.00000000005,12269.00000000005,0.0,0.0,-,-,0.0,-131931.35873499484,67569.96981000001,-76630.38892499486,-64361.388924994804
03/11/2020,19707.99999999998,16815.96995999998,24.6,22.18,-,-,0.0,-115115.38877499485,67569.96981000001,-64361.388924994804,-47545.418964994824
04/11/2020,27137.000000000062,40160.82007999985,54.3,45.38,-,-,0.0,-74954.56869499499,67569.96981000001,-47545.418964994824,-7384.598884994972
05/11/2020,11637.000000000022,12314.065025000016,38.055,28.38,-,-,0.0,-62640.50366999497,67569.96981000001,-7384.598884994972,4929.4661400050445
06/11/2020,-3182.5000000001537,-5425.124960000479,36.875,27.5,-,-,0.0,-68065.62862999545,67569.96981000001,4929.4661400050445,-495.6588199954349
09/11/2020,23352.000000000095,60014.53483000018,46.915,43.05,FX - Sell USD,5.3084,-35000.0,-8051.093799995273,32569.96981000001,-35495.658819995435,24518.876010004744
10/11/2020,-2155.0,-3826.10494000001,6.695,6.91,-,-,0.0,-11877.198739995283,32569.96981000001,24518.876010004744,20692.771070004732
11/11/2020,13739.999999999956,14109.984999999966,21.425,19.34,-,-,0.0,2232.786260004683,32569.96981000001,20692.771070004732,34802.756070004696
12/11/2020,-13911.999999999964,-14785.52555499998,108.705,87.32,-,-,0.0,-12552.739294995297,32569.96981000001,34802.756070004696,20017.230515004718
13/11/2020,-20040.0,-9578.050000000021,14.9,11.9,TT Fee,-,-250.0,-22130.789294995317,32319.96981000001,19767.230515004718,10189.180515004697
13/11/2020,-20040.0,-9578.050000000021,14.9,11.9,Wire Fee,-,-25.0,-31708.839294995338,32294.96981000001,10164.180515004697,586.1305150046755
16/11/2020,-290.00000000000136,939.2499999999986,4.5,3.75,-,-,0.0,-30769.589294995338,32294.96981000001,586.1305150046755,1525.3805150046742
17/11/2020,-2949.999999999971,-2323.589900000183,27.27,22.57,-,-,0.0,-33093.17919499552,32294.96981000001,1525.3805150046742,-798.209384995509
18/11/2020,29040.000000000062,6978.749999999951,67.5,56.25,-,-,0.0,-26114.429194995573,32294.96981000001,-798.209384995509,6180.540615004442
19/11/2020,-6869.9999999999145,2266.144999999945,39.565,32.79,-,-,0.0,-23848.284194995627,32294.96981000001,6180.540615004442,8446.685615004386
20/11/2020,17713.50000000006,14486.584230000215,88.745,73.67,-,-,0.0,-9361.699964995412,32294.96981000001,8446.685615004386,22933.2698450046
23/11/2020,-15940.000000000136,-10910.575000000046,41.975,34.85,-,-,0.0,-20272.274964995457,32294.96981000001,22933.2698450046,12022.694845004555
24/11/2020,-7527.4999999999745,-6586.8551899997865,41.195,35.66,-,-,0.0,-26859.130154995244,32294.96981000001,12022.694845004555,5435.839655004768
25/11/2020,2099.9999999998176,2639.7502499998704,31.5,26.25,-,-,0.0,-24219.379904995374,32294.96981000001,5435.839655004768,8075.589905004639
26/11/2020,0.0,-125.39999999998636,3.34,7.0600000000000005,-,-,0.0,-24344.77990499536,32294.96981000001,8075.589905004639,7950.189905004653
27/11/2020,0.0,6546.949999999973,21.29,21.76,-,-,0.0,-17797.829904995386,32294.96981000001,7950.189905004653,14497.139905004628
30/11/2020,44.999999999995005,-111.40024999996695,25.45,20.95,-,-,0.0,-17909.23015499535,32294.96981000001,14497.139905004628,14385.739655004661
01/12/2020,-31280.000000000142,-31410.089900000294,28.77,23.82,FX - Sell USD,5.267,-15000.0,-49319.320054995645,17294.96981000001,-614.2603449953385,-32024.350244995636
02/12/2020,761.0000000000148,999.660010000018,2.03,4.5600000000000005,-,-,0.0,-48319.660044995624,17294.96981000001,-32024.350244995632,-31024.690234995618
03/12/2020,-2295.0000000000264,-1381.4198000001004,26.26,21.16,-,-,0.0,-49701.07984499572,17294.96981000001,-31024.690234995614,-32406.11003499572
04/12/2020,21554.00000000005,21029.62989999993,23.49,20.880000000000006,-,-,0.0,-28671.44994499579,17294.96981000001,-32406.110034995716,-11376.480134995789
07/12/2020,-659.999999999994,-373.75000000003945,7.5,6.25,-,-,0.0,-29045.19994499583,17294.96981000001,-11376.480134995785,-11750.230134995829
08/12/2020,-2219.9999999999523,1811.1000000000708,10.45,8.45,-,-,0.0,-27234.09994499576,17294.96981000001,-11750.230134995825,-9939.130134995758
09/12/2020,-379.9999999999946,-1118.7500000000173,7.5,6.25,-,-,0.0,-28352.849944995778,17294.96981000001,-9939.130134995754,-11057.880134995776
10/12/2020,-2849.999999999986,-262.6499999999404,10.45,8.45,TT Fee,-,-250.0,-28615.499944995718,17044.96981000001,-11307.880134995772,-11570.530134995715
11/12/2020,280.00000000000244,-121.25000000004304,7.5,6.25,-,-,0.0,-28736.74994499576,17044.96981000001,-11570.530134995712,-11691.780134995759
14/12/2020,-2794.9999999999627,3005.2498000001287,13.5,11.25,-,-,0.0,-25731.500144995633,17044.96981000001,-11691.780134995755,-8686.53033499563
15/12/2020,-10179.99999999999,-9531.459999999992,15.58,10.88,-,-,0.0,-35262.960144995624,17044.96981000001,-8686.530334995627,-18217.990334995622
16/12/2020,1889.9999999999616,2871.839999999862,27.28,17.13,-,-,0.0,-32391.120144995763,17044.96981000001,-18217.99033499562,-15346.15033499576
17/12/2020,14045.000000000271,14045.000000000271,0.0,0.0,-,-,0.0,-18346.12014499549,17044.96981000001,-15346.150334995757,-1301.1503349954892
18/12/2020,-4930.000000000276,-4670.404990000261,0.6749999999999999,1.98,-,-,0.0,-23016.52513499575,17044.96981000001,-1301.1503349954855,-5971.55532499575
21/12/2020,-13901.999999999742,-23530.890249999902,27.58,18.31,-,-,0.0,-46547.41538499565,17044.96981000001,-5971.555324995747,-29502.445574995654
22/12/2020,467.5000000000035,795.5049999998772,32.325,21.17,-,-,0.0,-45751.910384995776,17044.96981000001,-29502.445574995647,-28706.940574995777
23/12/2020,-1904.9999999998893,-3116.199849999907,46.2,27.5,-,-,0.0,-48868.110234995685,17044.96981000001,-28706.94057499577,-31823.140424995683
28/12/2020,-19725.0,-18635.99990000001,53.41,42.59,-,-,0.0,-67504.11013499569,17044.96981000001,-31823.140424995676,-50459.14032499569
29/12/2020,4559.999999999945,-1733.7497000000074,5.88,30.37,FX - Buy USD,5.21,115163.1478,-69237.85983499569,132208.11761000002,64704.00747500432,62970.25777500431
30/12/2020,2309.9999999998504,3909.730049999903,2.45,11.32,-,-,0.0,-65328.129784995785,132208.11761000002,62970.25777500431,66879.98782500421
31/12/2020,11898.000000000171,11898.000000000171,0.0,0.0,-,-,0.0,-53430.12978499562,132208.11761000002,66879.98782500421,78777.98782500438
04/01/2021,-26993.00000000017,6652.980250000081,6.33,31.69,FX - Sell USD,5.2568,-50000.0,-46777.14953499554,82208.11761000002,28777.987825004384,35430.968075004464
05/01/2021,-18080.000000000004,-7667.500000000011,3.75,18.75,-,-,0.0,-54444.64953499555,82208.11761000002,35430.968075004464,27763.468075004454
06/01/2021,-14220.000000000116,-9889.499800000029,3.25,16.25,-,-,0.0,-64334.14933499558,82208.11761000002,27763.468075004454,17873.968275004423
07/01/2021,960.0000000000052,1569.0000000000693,3.5,17.5,-,-,0.0,-62765.149334995505,82208.11761000002,17873.968275004423,19442.968275004492
08/01/2021,-15100.00000000007,-8723.83993999992,8.65,35.19,-,-,0.0,-71488.98927499543,82208.11761000002,19442.968275004492,10719.128335004572
11/01/2021,7470.000000000003,6411.824990000004,2.375,9.55,-,-,0.0,-65077.16428499543,82208.11761000002,10719.128335004572,17130.953325004575
12/01/2021,-942.5000000000031,-3109.9049950000103,4.175,19.48,-,-,0.0,-68187.06927999544,82208.11761000002,17130.953325004575,14021.048330004565
13/01/2021,6110.000000000127,179.5502500000843,5.75,27.2,-,-,0.0,-68007.51902999535,82208.11761000002,14021.048330004565,14200.59858000465
