Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Sell Quant Rolagem,Buy Quant Rolagem,Buy Price Rolagem,Sell Price Rolagem,Buy Quant Total,Sell Quant Total,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L Trades,Gross P&L Rolagem,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
11/02/2021,ISPM21,5.0,3895.1,0.0,0.0,3906.25,0.0,0.0,0.0,0.0,5.0,0.0,5.3906,5.4759,101.0,213467.76,15026.297500000122,0.0,15026.297500000122,5.0,2.61,46.80952380952381,71.460495,228417.59700500013
12/02/2021,ISPM21,0.0,0.0,0.0,0.0,3928.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3712,5.4759,101.0,589959.18,0.0,0.0,0.0,0.0,2.61,46.80952380952381,0.0,589959.18
17/02/2021,ISPM21,12.0,3901.75,0.0,0.0,3924.0,0.0,0.0,0.0,0.0,12.0,0.0,5.4184,5.4759,113.0,-109451.68000000001,72335.64,0.0,72335.64,12.0,2.61,46.04761904761905,171.505188,-37299.54518800001
18/02/2021,ISPM21,0.0,0.0,5.0,3906.0,3908.0,0.0,0.0,0.0,0.0,0.0,5.0,5.4403,5.4759,108.0,-491803.12,-2720.1499999999996,0.0,-2720.1499999999996,5.0,2.61,46.04761904761905,71.460495,-494599.730495
19/02/2021,ISPM21,0.0,0.0,0.0,0.0,3897.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4097,5.4759,108.0,-321336.18,0.0,0.0,0.0,0.0,2.61,46.04761904761905,0.0,-321336.18
22/02/2021,ISPM21,0.0,0.0,0.0,0.0,3873.0,0.0,0.0,0.0,0.0,0.0,0.0,5.442,5.4759,108.0,-705283.2000000001,0.0,0.0,0.0,0.0,2.61,46.19047619047619,0.0,-705283.2000000001
23/02/2021,ISPM21,5.0,3823.5,10.0,3878.0,3880.0,0.0,0.0,0.0,0.0,5.0,10.0,5.4317,5.4759,103.0,205318.26,71291.0625,0.0,71291.0625,15.0,2.61,46.19047619047619,142.92099,276451.40151
24/02/2021,ISPM21,0.0,0.0,0.0,0.0,3921.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4249,5.4759,103.0,1145467.635,0.0,0.0,0.0,0.0,2.61,46.19047619047619,0.0,1145467.635
25/02/2021,ISPM21,0.0,0.0,5.0,3826.0,3828.0,0.0,0.0,0.0,0.0,0.0,5.0,5.5096,5.4759,98.0,-2638822.92,-2754.7999999999997,0.0,-2754.7999999999997,5.0,2.61,46.19047619047619,71.460495,-2641654.1804949995
26/02/2021,ISPM21,0.0,0.0,10.0,3822.0,3822.0,0.0,0.0,0.0,0.0,0.0,10.0,5.5820000000000025,5.4759,88.0,-164110.80000000008,0.0,0.0,0.0,10.0,2.61,46.19047619047619,142.92099,-164263.7209900001
01/03/2021,ISPM21,13.0,3845.57692307692,11.0,3858.272727272729,3895.0,0.0,0.0,0.0,0.0,13.0,11.0,5.599,5.5302,90.0,1798398.8,66768.07500001554,0.0,66768.07500001554,24.0,2.39,54.476190476190474,171.82331399999998,1864971.0516860157
02/03/2021,ISPM21,1.0,3872.0,5.0,3872.0,3874.0,0.0,0.0,0.0,0.0,1.0,5.0,5.6817,5.5302,86.0,-536920.65,-2272.6800000000003,0.0,-2272.6800000000003,6.0,2.39,54.476190476190474,66.08589,-539265.4158900001
03/03/2021,ISPM21,9.0,3868.0277777777796,0.0,0.0,3820.0,0.0,0.0,0.0,0.0,9.0,0.0,5.7364,5.5302,95.0,-1331992.0799999998,-123977.94500000481,0.0,-123977.94500000481,9.0,2.39,54.476190476190474,118.95460200000001,-1456097.9796020046
04/03/2021,ISPM21,0.0,0.0,5.0,3760.0,3762.0,0.0,0.0,0.0,0.0,0.0,5.0,5.6389,5.5302,90.0,-1553516.95,-2819.45,0.0,-2819.45,5.0,2.39,54.476190476190474,66.08589,-1556407.48589
05/03/2021,ISPM21,0.0,0.0,0.0,0.0,3838.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6846,5.5302,90.0,1944133.2,0.0,0.0,0.0,0.0,2.39,54.476190476190474,0.0,1944133.2
08/03/2021,ISPM21,0.0,0.0,0.0,0.0,3824.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7714,5.5302,90.0,-363598.2,0.0,0.0,0.0,0.0,2.39,57.904761904761905,0.0,-363598.2
09/03/2021,ISPM21,0.0,0.0,10.0,3872.25,3872.25,0.0,0.0,0.0,0.0,0.0,10.0,5.7979,5.5302,80.0,1258869.0375,0.0,0.0,0.0,10.0,2.39,57.904761904761905,132.17178,1258726.8657200001
10/03/2021,ISPM21,14.0,3869.4285714285706,15.0,3903.0833333333294,3904.0,0.0,0.0,0.0,0.0,14.0,15.0,5.6802,5.5302,79.0,721385.4,133555.70249998634,0.0,133555.70249998634,29.0,2.39,57.904761904761905,198.25767,854713.8448299863
11/03/2021,ISPM21,11.0,3916.45454545455,0.0,0.0,3935.0,0.0,0.0,0.0,0.0,11.0,0.0,5.5452,5.5302,90.0,679009.74,56561.039999986,0.0,56561.039999986,11.0,2.39,57.904761904761905,145.388958,735414.391041986
12/03/2021,ISPM21,0.0,0.0,0.0,0.0,3941.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5697,5.5302,90.0,150381.9,0.0,0.0,0.0,0.0,2.39,57.904761904761905,0.0,150381.9
15/03/2021,ISPM21,0.0,0.0,0.0,0.0,3963.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6246,5.5302,90.0,556835.4,0.0,0.0,0.0,0.0,2.39,55.666666666666664,0.0,556835.4
16/03/2021,ISPM21,2.0,3959.0,3.0,3969.25,3963.0,87.0,0.0,0.0,3962.178161,2.0,90.0,5.6191,5.5302,2.0,-0.0,7515.54625,-20088.280533319445,-12572.734283319445,92.0,2.39,55.666666666666664,1189.54602,-13854.280303319445
17/03/2021,ISPM21,313.0,3950.822683706071,35.0,3970.535714285711,3963.5,279.0,0.0,0.0,3953.504301,313.0,314.0,5.5899,5.5302,1.0,279.495,1177861.8037498994,-779455.6618693995,398406.1418804999,627.0,2.39,55.666666666666664,4150.193892,393908.4429884999
18/03/2021,ISPM21,0.0,0.0,1.0,3916.0,3916.0,0.0,9.0,3947.3555560000004,0.0,9.0,1.0,5.5524,5.5302,9.0,-13186.949999999999,0.0,-78344.36511048107,-78344.36511048107,10.0,2.39,55.666666666666664,118.95460200000001,-91660.26971248107
19/03/2021,ISPM21,6.0,3915.875,20.0,3905.025,3904.5,0.0,0.0,0.0,0.0,6.0,20.0,5.4774,5.5302,-5.0,-28345.545000000002,-15815.992499999502,0.0,-15815.992499999502,26.0,2.39,55.666666666666664,264.34356,-44451.881059999505
22/03/2021,ISPM21,17.0,3931.3823529411798,2.0,3932.625,3932.25,0.0,0.0,0.0,0.0,17.0,2.0,5.5032,5.5302,10.0,-38178.45,4264.979999984609,0.0,4264.979999984609,19.0,2.16,125.23809523809524,203.068944,-34135.53894401539
23/03/2021,ISPM21,9.0,3932.1111111111104,8.0,3908.5,3900.0,0.0,0.0,0.0,0.0,9.0,8.0,5.481,5.5302,11.0,-88381.125,-60565.04999999826,0.0,-60565.04999999826,17.0,2.16,125.23809523809524,107.507088,-149070.68208799826
24/03/2021,ISPM21,18.0,3903.3611111111104,5.0,3913.35,3884.0,0.0,0.0,0.0,0.0,18.0,5.0,5.5902,5.5302,24.0,-49193.76,-56391.14249999657,0.0,-56391.14249999657,23.0,2.16,125.23809523809524,215.014176,-105822.91667599656
25/03/2021,ISPM21,14.0,3882.3392857142894,25.0,3886.73,3900.5,0.0,0.0,0.0,0.0,14.0,25.0,5.67,5.5302,13.0,112266.0,-25515.000000014566,0.0,-25515.000000014566,39.0,2.16,125.23809523809524,298.63079999999997,86413.36919998543
26/03/2021,ISPM21,15.0,3964.7166666666703,6.0,3943.625,3964.0,0.0,0.0,0.0,0.0,15.0,6.0,5.7506,5.5302,22.0,237356.015,-38241.49000001582,0.0,-38241.49000001582,21.0,2.16,125.23809523809524,179.17848000000004,198914.3465199842
29/03/2021,ISPM21,19.0,3964.6842105263204,10.0,3972.0,3966.5,0.0,0.0,0.0,0.0,19.0,10.0,5.7729,5.5302,31.0,15875.475,25833.727499974797,0.0,25833.727499974797,29.0,2.16,123.47619047619048,226.95940800000002,41453.24309197479
30/03/2021,ISPM21,12.0,3952.3125,37.0,3951.7972972973,3947.75,0.0,0.0,0.0,0.0,12.0,37.0,5.7413,5.5302,6.0,-166856.53125,27271.1750000265,0.0,27271.1750000265,49.0,2.16,123.47619047619048,441.973584,-140076.3298339735
31/03/2021,ISPM21,21.0,3969.0238095238105,8.0,3975.0,3970.0,0.0,0.0,0.0,0.0,21.0,8.0,5.6416,5.5302,19.0,37657.68,17065.839999993972,0.0,17065.839999993972,29.0,2.16,123.47619047619048,250.84987199999998,54443.67012799397
01/04/2021,ISPM21,6.0,4003.375,14.0,3992.696428571429,4015.5,0.0,0.0,0.0,0.0,6.0,14.0,5.705,5.6973,11.0,246598.625,-70314.1249999987,0.0,-70314.1249999987,20.0,2.16,123.47619047619048,172.28635200000002,176092.21364800129
05/04/2021,ISPM21,50.0,4059.78,33.0,4070.87121212121,4073.0,0.0,0.0,0.0,0.0,50.0,33.0,5.6683,5.6973,28.0,179259.98750000002,167427.41124997914,0.0,167427.41124997914,83.0,2.16,123.47619047619048,615.3084,345989.0903499792
06/04/2021,ISPM21,8.0,4069.25,22.0,4074.1818181818203,4072.0,0.0,0.0,0.0,0.0,8.0,22.0,5.5968,5.6973,14.0,-7835.52,19588.80000001298,0.0,19588.80000001298,30.0,3.07,,384.795642,11338.48435801298
07/04/2021,ISPM21,1.0,4072.75,10.0,4076.3,4075.0,0.0,0.0,0.0,0.0,1.0,10.0,5.6267,5.6973,5.0,11816.07,4290.3587500005115,0.0,4290.3587500005115,11.0,3.07,,174.90711000000002,15920.521640000512
08/04/2021,ISPM21,13.0,4102.05769230769,6.0,4097.2083333333285,4103.0,0.0,0.0,0.0,0.0,13.0,6.0,5.5696,5.6973,12.0,38987.200000000004,-6265.79999999848,0.0,-6265.79999999848,19.0,3.07,,227.379243,32475.020757001523
09/04/2021,ISPM21,23.0,4116.52173913044,1.0,4100.5,4117.25,0.0,0.0,0.0,0.0,23.0,1.0,5.6742,5.6973,34.0,48514.409999999996,-3.689868208311964e-08,0.0,-3.689868208311964e-08,24.0,3.07,,402.286353,48088.1236469631
12/04/2021,ISPM21,8.0,4125.25,17.0,4118.89705882353,4126.5,0.0,0.0,0.0,0.0,8.0,17.0,5.7328,5.6973,25.0,90148.28,-34181.819999998435,0.0,-34181.819999998435,25.0,2.39,96.19047619047619,231.48129900000004,55709.978701001564
13/04/2021,ISPM21,4.0,4136.25,9.0,4132.027777777779,4133.0,0.0,0.0,0.0,0.0,4.0,9.0,5.6972,5.6973,20.0,46289.75,-6195.704999996373,0.0,-6195.704999996373,13.0,2.39,96.19047619047619,122.54892300000002,39958.49607700363
14/04/2021,ISPM21,22.0,4126.5,0.0,0.0,4126.5,0.0,0.0,0.0,0.0,22.0,0.0,5.6815,5.6973,42.0,-36929.75,0.0,0.0,0.0,22.0,2.39,96.19047619047619,299.56403400000005,-37251.314034
